;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brand;;;King Song;Ninebot;Ninebot;InMotion;;Begode;Begode;Begode;Begode;;King Song;King Song;King Song;Begode;;InMotion;InMotion;InMotion;King Song;InMotion;InMotion;Begode;Begode;;Ninebot;King Song;King Song;Gotway;Gotway;Begode;Begode;Begode;InMotion;InMotion;;King Song;King Song;InMotion;Begode;Begode;Begode;King Song;Begode;Begode;;King Song;King Song;Begode;Begode;Begode;Begode;;Begode;Begode;Extreme Bull;Extreme Bull;Veteran;Veteran;;Veteran;Begode;Begode;InMotion;Begode;Begode;;;OneWheel;OneWheel;OneWheel;OneWheel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model;;;KS-14M;One S1;One S2;V5F;;MTen3;MTen3 (V2);MTen3 (V2);MTen4;;KS-14D;KS-14D;KS-14S;MCM5 V2;;V8;V8F;V8S;KS-16S;V10;V10F;Tesla V2;T3/Tesla V3;;Z10;KS-16XS;KS-16X;Nikola+;Nikola+;Nikola+;Nik+ (P42a);Nikola AR+;V12 (HT);V12;;KS-S18;S18 (P42a);V11;EX;Hero (HT);Hero;KS-S22;Master (40T);Master (50E);;KS-18L;KS-18XL (V2);MSPro (HT);MSPro (HS);RS (HT);RS;;EX.N (HT);EX.N;Commander (HT);Commander;Sherman;Sherman Max;;Abrams;MasterPro (40T);MasterPro (50E);V13;Monster V3;Monster Pro;;;Pint;Pint X;+ XR;GT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Year Released (last major revision);;;2017;2016;2016;2016;;2020;2020;2020;?2022;;2017;2017;2017;2020;;2016;2020;2021;2017;2018;2018;2019;2021;;2018;2019;2019;2019;2019;2019;2022;2021;2022;2022;;2020;2022;2020;2021;2022;2022;2022;2022;2022;;2018;2019;2020;2020;2020;2020;;2021;2021;2021;2021;2020;2022;;2021;?2022;?2022;?2022;2019;2021;;;2019;2021;2018;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tire;Rated Size (in);;14 � 2.125;14 � 2.125;14 � 2.125;14 � 2.125;;10 � 3;10 � 3;10 � 3;???;;14 � 2.125;14 � 2.125;14 � 2.125;14 � 2.5;;16 � 1.95;16 � 2.125;16 � 2.125;16 � 2.125;16 � 2.5;16 � 2.5;16 � 2.125;16 � 2.125;;18 � 4.1;16 � 3;16 � 3;16 � 3;16 � 3;16 � 3;16 � 3;16 � 3;16 � 3;16 � 3;;18 � 3;18 � 3;18 � 3;2.75 - 14;2.75 - 14;2.75 - 14;2.75 - 14;2.75 - 14;2.75 - 14;;18 � 2.5;18 � 2.5;18 � 3;18 � 3;18 � 3;18 � 3;;?2.75 - 14;2.75 - 14;?2.75 - 14;2.75 - 14;2.75 - 14;2.75 - 14;;2.75 - 17;2.75 - 17;2.75 - 17;?22 � 3;2.75 - 17;2.75 - 18;;;10.5 x 4.5-6;10.5 x 4.5-6;11.5 x 6.5-6;11.5 x 6.5-6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PEV MF Dia.;;"14""";"14""";"14""";"14""";;"10""";"10""";"10""";"11""";;"14""";"14""";"14""";"14""";;"16""";"16""";"16""";"16""";"16""";"16""";"16""";"16""";;"18""";"16""";"16""";"17""";"17""";"17""";"17""";"17""";"16""";"16""";;"18""";"18""";"18""";"20""";"20""";"20""";"20""";"20""";"20""";;"18""";"18""";"19""";"19""";"19""";"19""";;"20""";"20""";"20""";"20""";"20""";"20""";;"22""";"22""";"22""";"22""";"22""";"24""";;;"10,5""";"10,5""";"11,5""";"11,5""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[WIP];~Measured Dia.;;;;;;;;;;;;;;;;;;;;;;;;;;"17,5""";"17,25""";"17,25""";"17,25""";"17,25""";"17,25""";"17,25""";"17,25""";"17,25""";"17,25""";;"19,5""";"19,5""";"19,5""";"?19.75""";;"19,75""";"19,75""";"19,75""";"19,75""";;"18,5""";"18,5""";"19,5""";"19,5""";"19,5""";"19,5""";;"?19.75""";"19,75""";;"19,75""";"19,75""";"19,75""";;"?22.5""";;;;"~23""";"?~24""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[WIP];Model;;?K924;;;;;;;;;;K924;K924;?K924;?CST C-1488;;K1088;CY H-5146;CY H-5146;K1039;K1039;K1039;CST C-1488;CST C-1488;;;CST C-1488;CST C-1488;CST C-1488;;CST C-1488;CST C-1488;?CST C-1488;;;;CY H-5102;CY H-5102;CST C-1488;?Kenda;CST-186;CST-186;K262;CST-186;CST-186;;CST C-1488;CST C-1488;CST C-1488;CST C-1488;CST-186;CST-186;;CST-186;CST-186;CST-186;CST-186;K262;K262;;;;;;K254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Max Speed;eWheels - mph;;-;12,5 mph;15 mph;15 mph;;23 mph;23 mph;23 mph;???;;18,6 mph;18,6 mph;18,6 mph;25 mph;;18,6 mph;21,7 mph;21,7 mph;21,7 mph;25 mph;25 mph;30 mph;31 mph;;28 mph;28 mph;31 mph;35 mph;40 mph;40 mph;40 mph;40 mph;43,5 mph;43,5 mph;;31 mph;31 mph;34,1 mph;???;???;40 mph;44,5 mph;50 mph;50 mph;;31 mph;31 mph;37 mph;40 mph;35 mph;40 mph;;???;45 mph;???;45 mph;45 mph;45 mph;;50 mph;47,1 mph;47,1 mph;55,9 mph;38 mph;45 mph;;;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
